"","Title","Author","Subject","Abstract","date"
"64","the ${\cal o}(α_t+α_λ+α_κ)^2$ correction to the $ρ$ parameter and its effect on the w boson mass calculation in the complex nmssm","thi nhung dao, martin gabelmann, m. margarete mühlleitner","high energy physics - phenomenology","we present the prediction of the electroweak $\rho$ parameter and the $w$ boson mass in the cp-violating next-to-minimal supersymmetric extension of the standard model (nmssm) at the two-loop order. the $\rho$ parameter is calculated at the full one-loop and leading and sub-leading two-loop order $\mathcal{o}(\alpha + \alpha_t\alpha_s + \left(\alpha_t+\alpha_\lambda+\alpha_\kappa\right)^2)$. the new $\delta \rho$ prediction is incorporated into a prediction of $m_w$ via a full supersymmetric (susy) one-loop calculation of $\delta r$. furthermore, we include all known state-of-the-art sm higher-order corrections to $\delta r$. by comparing results for $\delta \rho$ obtained using on-shell (os) and $\overline{\mathrm{dr}}$ renormalization conditions in the top/stop sector, we find that the scheme uncertainty is reduced at one-loop order by 55%, at two-loop $\mathcal{o}(\alpha_s\alpha_t)$ by 22%, and at two-loop $\mathcal{o}(\alpha_t+\alpha_\kappa+\alpha_\lambda)^2$ by 16%, respectively. the influence of the two-loop results on the $m_w$ mass prediction is found to be sub-leading. the new calculation is made public in the computer program $\mathrm{\tt nmssmcalc}$. we perform an extensive comparison in the $w$-mass, higgs boson mass and the muon anomalous magnetic moment prediction between our calculation and three other publicly available tools and find very good agreement provided that the input parameters and renormalization scales are treated in the same way. finally, we study the impact of the cp-violating phases on the $w$-mass prediction which is found to be smaller than the overall size of the susy corrections.",2023-08-08
"65","synthesizing programmatic policies with actor-critic algorithms and relu networks","spyros orfanos, levi h. s. lelis","machine learning","programmatically interpretable reinforcement learning (pirl) encodes policies in human-readable computer programs. novel algorithms were recently introduced with the goal of handling the lack of gradient signal to guide the search in the space of programmatic policies. most of such pirl algorithms first train a neural policy that is used as an oracle to guide the search in the programmatic space. in this paper, we show that such pirl-specific algorithms are not needed, depending on the language used to encode the programmatic policies. this is because one can use actor-critic algorithms to directly obtain a programmatic policy. we use a connection between relu neural networks and oblique decision trees to translate the policy learned with actor-critic algorithms into programmatic policies. this translation from relu networks allows us to synthesize policies encoded in programs with if-then-else structures, linear transformations of the input values, and pid operations. empirical results on several control problems show that this translation approach is capable of learning short and effective policies. moreover, the translated policies are at least competitive and often far superior to the policies pirl algorithms synthesize.",2023-08-04
"66","should we trust web-scraped data?","jens foerderer","general economics","the increasing adoption of econometric and machine-learning approaches by empirical researchers has led to a widespread use of one data collection method: web scraping. web scraping refers to the use of automated computer programs to access websites and download their content. the key argument of this paper is that naïve web scraping procedures can lead to sampling bias in the collected data. this article describes three sources of sampling bias in web-scraped data. more specifically, sampling bias emerges from web content being volatile (i.e., being subject to change), personalized (i.e., presented in response to request characteristics), and unindexed (i.e., abundance of a population register). in a series of examples, i illustrate the prevalence and magnitude of sampling bias. to support researchers and reviewers, this paper provides recommendations on anticipating, detecting, and overcoming sampling bias in web-scraped data.",2023-08-04
"67","blueprinting quantum computing systems","simon j. devitt","quantum physics","the development of quantum computing systems has been a staple of academic research since the mid-1990s when the first proposal for physical platforms were proposed using nuclear magnetic resonance and ion-trap hardware. these first proposals were very basic, essentially consisting of identifying a physical qubit (two-level quantum system) that could be isolated and controlled to achieve universal quantum computation. over the past thirty years, the nature of quantum architecture design has changed significantly and the scale of investment, groups and companies involved in building quantum computers has increased exponentially. architectural design for quantum computers examines systems at scale: fully error-corrected machines, potentially consisting of millions if not billions of physical qubits. these designs increasingly act as blueprints for academic groups and companies and are becoming increasingly more detailed, taking into account both the nature and operation of the physical qubits themselves and also peripheral environmental and control infrastructure that is required for each physical system. in this paper, several architectural structures that i have worked on will be reviewed, each of which has been adopted by either a national quantum computing program or a quantum startup.",2023-07-29
"68","wavjourney: compositional audio creation with large language models","xubo liu, zhongkai zhu, haohe liu, yi yuan, meng cui, qiushi huang, jinhua liang, yin cao, qiuqiang kong, mark d. plumbley, wenwu wang","sound","despite breakthroughs in audio generation models, their capabilities are often confined to domain-specific conditions such as speech transcriptions and audio captions. however, real-world audio creation aims to generate harmonious audio containing various elements such as speech, music, and sound effects with controllable conditions, which is challenging to address using existing audio generation systems. we present wavjourney, a novel framework that leverages large language models (llms) to connect various audio models for audio creation. wavjourney allows users to create storytelling audio content with diverse audio elements simply from textual descriptions. specifically, given a text instruction, wavjourney first prompts llms to generate an audio script that serves as a structured semantic representation of audio elements. the audio script is then converted into a computer program, where each line of the program calls a task-specific audio generation model or computational operation function. the computer program is then executed to obtain a compositional and interpretable solution for audio creation. experimental results suggest that wavjourney is capable of synthesizing realistic audio aligned with textually-described semantic, spatial and temporal conditions, achieving state-of-the-art results on text-to-audio generation benchmarks. additionally, we introduce a new multi-genre story benchmark. subjective evaluations demonstrate the potential of wavjourney in crafting engaging storytelling audio content from text. we further demonstrate that wavjourney can facilitate human-machine co-creation in multi-round dialogues. to foster future research, the code and synthesized audio are available at: this https url.",2023-07-26
"69","advanced monte carlo simulation techniques to study polymers under equilibrium conditions","monika angwani, tushar mahendrakar, kaustubh rane","soft condensed matter","the advances in materials and biological sciences have necessitated the use of molecular simulations to study polymers. the markov chain monte carlo simulations enable the sampling of relevant microstates of polymeric systems by traversing paths that are impractical in molecular dynamics simulations. several advances in applying monte carlo simulations to polymeric systems have been reported in recent decades. the proposed methods address sampling challenges encountered in studying different aspects of polymeric systems. tracking the above advances has become increasingly challenging due to the extensive literature generated in the field. moreover, the incorporation of new methods in the existing monte carlo simulation packages is cumbersome due to their complexity. identifying the foundational algorithms that are common to different methods can significantly ease their implementation and make them accessible to the broader simulation community. the present chapter classifies the monte carlo methods for polymeric systems based on their objectives and standard features of their algorithms. we begin the article by providing an overview of advanced monte carlo techniques used for polymeric systems and their specific applications. we then classify the above techniques into two broad categories: 1) monte carlo moves and 2) advanced sampling schemes. the former category is further divided to distinguish the monte carlo moves in the canonical and other ensembles. the advanced sampling schemes attempt to improve monte carlo sampling via approaches other than monte carlo moves. we use the above classification to identify common features of the methods and derive general expressions that explain their implementation. such a strategy can help readers select the methods that are suitable for their study and develop computer programs that can be easily modified to implement new methods.",2023-07-21
"70","visual flow-based programming plugin for brain computer interface in computer-aided design","tong bill xu, saleh kalantari","human-computer interaction","over the last half century, the main application of brain computer interfaces, bcis has been controlling wheelchairs and neural prostheses or generating text or commands for people with restricted mobility. there has been very limited attention in the field to applications for computer aided design, despite the potential of bcis to provide a new form of environmental interaction. in this paper we introduce the development and application of neuron, a novel bci tool that enables designers with little experience in neuroscience or computer programming to gain access to neurological data, along with established metrics relevant to design, create bci interaction prototypes, both with digital onscreen objects and physical devices, and evaluate designs based on neurological information and record measurements for further analysis. after discussing the bci tool development, the article presents its capabilities through two case studies, along with a brief evaluation of the tool performance and a discussion of implications, limitations, and future improvement.",2023-07-20
"71","comparing with python: text analysis in stata","xiangtai zuo (shutter zor)","methodology","text analysis is the process of constructing structured data from unstructured textual content, usually implemented in python. in terms of the principles of text analysis, a computer program with the ability to read a file and match it with a regular expression is all that is needed for basic text analysis. however, few researchers have used stata as their main text analysis tool. in this paper, i will take a step-by-step approach to the practical process, giving examples of how text analysis can be performed with stata, and comparing the code and running time with python.",2023-07-19
"72","glamour muscles: why having a body is not what it means to be embodied","shawn l. beaulieu, sam kriegman","artificial intelligence","embodiment has recently enjoyed renewed consideration as a means to amplify the faculties of smart machines. proponents of embodiment seem to imply that optimizing for movement in physical space promotes something more than the acquisition of niche capabilities for solving problems in physical space. however, there is nothing in principle which should so distinguish the problem of action selection in physical space from the problem of action selection in more abstract spaces, like that of language. rather, what makes embodiment persuasive as a means toward higher intelligence is that it promises to capture, but does not actually realize, contingent facts about certain bodies (living intelligence) and the patterns of activity associated with them. these include an active resistance to annihilation and revisable constraints on the processes that make the world intelligible. to be theoretically or practically useful beyond the creation of niche tools, we argue that ""embodiment"" cannot be the trivial fact of a body, nor its movement through space, but the perpetual negotiation of the function, design, and integrity of that body$\unicode{x2013}$that is, to participate in what it means to $\textit{constitute}$ a given body. it follows that computer programs which are strictly incapable of traversing physical space might, under the right conditions, be more embodied than a walking, talking robot.",2023-07-17
"73","are large language models a threat to digital public goods? evidence from activity on stack overflow","maria del rio-chanona, nadzeya laurentsyeva, johannes wachs","social and information networks","large language models like chatgpt efficiently provide users with information about various topics, presenting a potential substitute for searching the web and asking people for help online. but since users interact privately with the model, these models may drastically reduce the amount of publicly available human-generated data and knowledge resources. this substitution can present a significant problem in securing training data for future models. in this work, we investigate how the release of chatgpt changed human-generated open data on the web by analyzing the activity on stack overflow, the leading online q\&a platform for computer programming. we find that relative to its russian and chinese counterparts, where access to chatgpt is limited, and to similar forums for mathematics, where chatgpt is less capable, activity on stack overflow significantly decreased. a difference-in-differences model estimates a 16\% decrease in weekly posts on stack overflow. this effect increases in magnitude over time, and is larger for posts related to the most widely used programming languages. posts made after chatgpt get similar voting scores than before, suggesting that chatgpt is not merely displacing duplicate or low-quality content. these results suggest that more users are adopting large language models to answer questions and they are better substitutes for stack overflow for languages for which they have more training data. using models like chatgpt may be more efficient for solving certain programming problems, but its widespread adoption and the resulting shift away from public exchange on the web will limit the open data people and models can learn from in the future.",2023-07-14
"74","exact generalized turán number for $k_3$ versus suspension of $p_4$","sayan mukherjee","combinatorics","let $p_4$ denote the path graph on $4$ vertices. the suspension of $p_4$, denoted by $\widehat p_4$, is the graph obtained via adding an extra vertex and joining it to all four vertices of $p_4$. in this note, we demonstrate that for $n\ge 8$, the maximum number of triangles in any $n$-vertex graph not containing $\widehat p_4$ is $\left\lfloor n^2/8\right\rfloor$. our method uses simple induction along with computer programming to prove a base case of the induction hypothesis.",2023-07-10
"75","multi-intent detection in user provided annotations for programming by examples systems","nischal ashok kumar, nitin gupta, shanmukha guttula, hima patel","artificial intelligence","in mapping enterprise applications, data mapping remains a fundamental part of integration development, but its time consuming. an increasing number of applications lack naming standards, and nested field structures further add complexity for the integration developers. once the mapping is done, data transformation is the next challenge for the users since each application expects data to be in a certain format. also, while building integration flow, developers need to understand the format of the source and target data field and come up with transformation program that can change data from source to target format. the problem of automatic generation of a transformation program through program synthesis paradigm from some specifications has been studied since the early days of artificial intelligence (ai). programming by example (pbe) is one such kind of technique that targets automatic inferencing of a computer program to accomplish a format or string conversion task from user-provided input and output samples. to learn the correct intent, a diverse set of samples from the user is required. however, there is a possibility that the user fails to provide a diverse set of samples. this can lead to multiple intents or ambiguity in the input and output samples. hence, pbe systems can get confused in generating the correct intent program. in this paper, we propose a deep neural network based ambiguity prediction model, which analyzes the input-output strings and maps them to a different set of properties responsible for multiple intent. users can analyze these properties and accordingly can provide new samples or modify existing samples which can help in building a better pbe system for mapping enterprise applications.",2023-07-08
"76","pushing the limits of machine design: automated cpu design with ai","shuyao cheng, pengwei jin, qi guo, zidong du, rui zhang, yunhao tian, xing hu, yongwei zhao, yifan hao, xiangtao guan, husheng han, zhengyue zhao, ximing liu, ling li, xishan zhang, yuejie chu, weilong mao, tianshi chen, yunji chen","artificial intelligence","design activity -- constructing an artifact description satisfying given goals and constraints -- distinguishes humanity from other animals and traditional machines, and endowing machines with design abilities at the human level or beyond has been a long-term pursuit. though machines have already demonstrated their abilities in designing new materials, proteins, and computer programs with advanced artificial intelligence (ai) techniques, the search space for designing such objects is relatively small, and thus, ""can machines design like humans?"" remains an open question. to explore the boundary of machine design, here we present a new ai approach to automatically design a central processing unit (cpu), the brain of a computer, and one of the world's most intricate devices humanity have ever designed. this approach generates the circuit logic, which is represented by a graph structure called binary speculation diagram (bsd), of the cpu design from only external input-output observations instead of formal program code. during the generation of bsd, monte carlo-based expansion and the distance of boolean functions are used to guarantee accuracy and efficiency, respectively. by efficiently exploring a search space of unprecedented size 10^{10^{540}}, which is the largest one of all machine-designed objects to our best knowledge, and thus pushing the limits of machine design, our approach generates an industrial-scale risc-v cpu within only 5 hours. the taped-out cpu successfully runs the linux operating system and performs comparably against the human-designed intel 80486sx cpu. in addition to learning the world's first cpu only from input-output observations, which may reform the semiconductor industry by significantly reducing the design cycle, our approach even autonomously discovers human knowledge of the von neumann architecture.",2023-06-21
"77","bianchi period polynomials: hecke action and congruences","lewis combes","number theory","let $\gamma$ be a bianchi group associated to one of the five euclidean imaginary quadratic fields. we show that the space of weight $k$ period polynomials for $\gamma$ is ``dual'' to the space of weight $k$ modular symbols for $\gamma$, reflecting the duality between the first and second cohomology groups of bianchi groups. using this result, we describe the action of hecke operators on the space of period polynomials for $\gamma$ via the heilbronn matrices.
in the second part of the paper, we numerically investigate congruences between level 1 bianchi eigenforms via computer programs which implement the hecke action on spaces of bianchi period polynomials. computations with the hecke action are used to indicate moduli of congruences between the underlying bianchi forms; we then prove the congruences using the period polynomials. from this we find congruences between genuine bianchi modular forms and both a base-change bianchi form and an eisenstein series. we believe these congruences are the first of their kind in the literature.",2023-06-19
"78","stacking of hyperparameter tuned models for tagging coding problems","sathya krishnan ts, s. lakshmana pandian, p. shunmugapriya","machine learning","coding problems are problems that require a solution in the form of a computer program. coding problems are popular among students and professionals as it enhances their skills and career opportunities. an ai system that would help those who practice coding problems would be highly useful and there is a huge potential for such a system. in this work, we propose a model which uses stacking of hyperparameter tuned boosting models to achieve impressive metric scores of 77.8% accuracy and 0.815 pr-auc on the dataset that was scraped from codeforces and leetcode. we open source the dataset and the models developed for this work.",2023-06-16
"79","chatbots to chatgpt in a cybersecurity space: evolution, vulnerabilities, attacks, challenges, and future recommendations","attia qammar, hongmei wang, jianguo ding, abdenacer naouri, mahmoud daneshmand, huansheng ning","cryptography and security","chatbots shifted from rule-based to artificial intelligence techniques and gained traction in medicine, shopping, customer services, food delivery, education, and research. openai developed chatgpt blizzard on the internet as it crossed one million users within five days of its launch. however, with the enhanced popularity, chatbots experienced cybersecurity threats and vulnerabilities. this paper discussed the relevant literature, reports, and explanatory incident attacks generated against chatbots. our initial point is to explore the timeline of chatbots from eliza (an early natural language processing computer program) to gpt-4 and provide the working mechanism of chatgpt. subsequently, we explored the cybersecurity attacks and vulnerabilities in chatbots. besides, we investigated the chatgpt, specifically in the context of creating the malware code, phishing emails, undetectable zero-day attacks, and generation of macros and lolbins. furthermore, the history of cyberattacks and vulnerabilities exploited by cybercriminals are discussed, particularly considering the risk and vulnerabilities in chatgpt. addressing these threats and vulnerabilities requires specific strategies and measures to reduce the harmful consequences. therefore, the future directions to address the challenges were presented.",2023-05-29
"80","plan b: new ${z^\prime}$ models for $b\rightarrow sl^+l^-$ anomalies","ben allanach, anna mullin","high energy physics - phenomenology","measurements of $b \rightarrow s \mu^+ \mu^-$ transitions indicate that there may be a new physics field coupling to di-muon pairs associated with the $b$ to $s$ flavour transition. including the 2022 lhcb reanalysis of $r_k$ and $r_{k^\ast}$, one infers that there may also be associated new physics in $b\rightarrow e^+ e^-$ transitions. here, we examine the extent of the statistical preference for $z^\prime$ models coupling to di-electron pairs taking into account the relevant constraints, in particular from experiments at lep-2. we identify an anomaly-free set of models which interpolates between the $z^\prime$ not coupling to electrons at all, to one in which there is an equal $z^\prime$ coupling to muons and electrons (but where in all models in the set, the $z^\prime$ boson can mediate $b\rightarrow \mu^+ \mu^-$ transitions). a $3b_3-l_e-2l_\mu$ model provides a close-to-optimal fit to the pertinent measurements along the line of interpolation. we have (re-)calculated predictions for the relevant lep-2 observables in terms of dimension-6 smeft operators and put them into the ${\tt flavio2.3.3}$ computer program, so that they are available for global fits.",2023-06-14
"81","minimally comparing relational abstract domains","kenny ballou, elena sherman","logic in computer science","value-based static analysis techniques express computed program invariants as logical formula over program variables. researchers and practitioners use these invariants to aid in software engineering and verification tasks. when selecting abstract domains, practitioners weigh the cost of a domain against its expressiveness. however, an abstract domain's expressiveness tends to be stated in absolute terms; either mathematically via the sub-polyhedra the domain is capable of describing, empirically using a set of known properties to verify, or empirically via logical entailment using the entire invariant of the domain at each program point. due to carry-over effects, however, the last technique can be problematic because it tends to provide a simplistic and imprecise comparisons.
we address limitations of comparing, in general, abstract domains via logical entailment in this work. we provide a fixed-point algorithm for including the minimally necessary variables from each domain into the compared formula. furthermore, we empirically evaluate our algorithm, comparing different techniques of widening over the zones domain and comparing zones to an incomparable relational predicates domain. our empirical evaluation of our technique shows an improved granularity of comparison. it lowered the number of more precise invariants when comparing analysis techniques, thus, limiting the prevalent carry-over effects. moreover, it removed undecidable invariants and lowered the number of incomparable invariants when comparing two incomparable relational abstract domains.",2023-05-25
"82","statistics of feynman amplitudes in $ϕ^4$-theory","paul-hermann balduf","high energy physics - theory","the amplitude of subdivergence-free logarithmically divergent feynman graphs in $\phi^4$-theory in 4 spacetime dimensions is given by a single number, the feynman period. we numerically compute the periods of 1.3 million completed graphs, this represents more than 33 million graphs contributing to the beta function. our data set includes all primitive graphs up to 13 loops, and non-complete samples up to 18 loops, with an accuracy of ca. 4 significant digits. we implement all known symmetries of the period in a new computer program and count them up to 14 loops. combining the symmetries, we discover relations between periods that had been overlooked earlier. all expected symmetries are respected by the numerical values of periods. we examine the distribution of the numerically computed feynman periods. we confirm the leading asymptotic growth of the average period with growing loop order, up to a factor of 2. at high loop order, a limiting distribution is reached for the amplitudes near the mean. a small class of graphs, most notably the zigzags, grows significantly faster than the mean and causes the limiting distribution to have divergent moments even when normalized to unit mean. we examine the relation between the period and various properties of the underlying graphs. we confirm the strong correlation with the hepp bound, the martin invariant, and the number of 6-edge cuts. we find that, on average, the amplitude of planar graphs is significantly larger than that of non-planar graphs, irrespective of $o(n)$ symmetry. we estimate the primitive contribution to the 18-loop beta function of the $o(n)$-symmetric theory. we find that primitive graphs constitute a large part of the beta function in ms for $l\rightarrow \infty$ loops. the relative contribution of planar graphs increases with growing $n$ and decreases with growing loop order $l$.",2023-05-22
"83","qhdl: a low-level circuit description language for quantum computing","gilbert netzer, stefano markidis","emerging technologies","this paper proposes a descriptive language called qhdl, akin to vhdl, to program gate-based quantum computing systems. unlike other popular quantum programming languages, qhdl targets low-level quantum computing programming and aims to provide a common framework for programming fpgas and gate-based quantum computing systems. the paper presents an initial implementation and design principles of the qhdl framework, including a compiler and quantum computer simulator. we discuss the challenges of low-level integration of streaming models and quantum computing for programming fpgas and gate-based quantum computing systems.",2023-05-16
"84","automatic differentiation in prolog","tom schrijvers, birthe van den berg, fabrizio riguzzi","programming languages","automatic differentiation (ad) is a range of algorithms to compute the numeric value of a function's (partial) derivative, where the function is typically given as a computer program or abstract syntax tree. ad has become immensely popular as part of many learning algorithms, notably for neural networks. this paper uses prolog to systematically derive gradient-based forward- and reverse-mode ad variants from a simple executable specification: evaluation of the symbolic derivative. along the way we demonstrate that several prolog features (dcgs, co-routines) contribute to the succinct formulation of the algorithm. we also discuss two applications in probabilistic programming that are enabled by our prolog algorithms. the first is parameter learning for the sum-product loop language and the second consists of both parameter learning and variational inference for probabilistic logic programming.",2023-05-13
"85","understanding automatic differentiation pitfalls","jan hückelheim, harshitha menon, william moses, bruce christianson, paul hovland, laurent hascoët","numerical analysis","automatic differentiation, also known as backpropagation, ad, autodiff, or algorithmic differentiation, is a popular technique for computing derivatives of computer programs accurately and efficiently. sometimes, however, the derivatives computed by ad could be interpreted as incorrect. these pitfalls occur systematically across tools and approaches. in this paper we broadly categorize problematic usages of ad and illustrate each category with examples such as chaos, time-averaged oscillations, discretizations, fixed-point loops, lookup tables, and linear solvers. we also review debugging techniques and their effectiveness in these situations. with this article we hope to help readers avoid unexpected behavior, detect problems more easily when they occur, and have more realistic expectations from ad tools.",2023-05-12
"86","humans are still better than chatgpt: case of the ieeextreme competition","anis koubaa, basit qureshi, adel ammar, zahid khan, wadii boulila, lahouari ghouti","software engineering","since the release of chatgpt, numerous studies have highlighted the remarkable performance of chatgpt, which often rivals or even surpasses human capabilities in various tasks and domains. however, this paper presents a contrasting perspective by demonstrating an instance where human performance excels in typical tasks suited for chatgpt, specifically in the domain of computer programming. we utilize the ieeextreme challenge competition as a benchmark, a prestigious, annual international programming contest encompassing a wide range of problems with different complexities. to conduct a thorough evaluation, we selected and executed a diverse set of 102 challenges, drawn from five distinct ieeextreme editions, using three major programming languages: python, java, and c++. our empirical analysis provides evidence that contrary to popular belief, human programmers maintain a competitive edge over chatgpt in certain aspects of problem-solving within the programming context. in fact, we found that the average score obtained by chatgpt on the set of ieeextreme programming problems is 3.9 to 5.8 times lower than the average human score, depending on the programming language. this paper elaborates on these findings, offering critical insights into the limitations and potential areas of improvement for ai-based language models like chatgpt.",2023-05-10
"87","can chatgpt pass an introductory level functional language programming course?","chuqin geng, yihan zhang, brigitte pientka, xujie si","computers and society","the recent introduction of chatgpt has drawn significant attention from both industry and academia due to its impressive capabilities in solving a diverse range of tasks, including language translation, text summarization, and computer programming. its capability for writing, modifying, and even correcting code together with its ease of use and access is already dramatically impacting computer science education. this paper aims to explore how well chatgpt can perform in an introductory-level functional language programming course. in our systematic evaluation, we treated chatgpt as one of our students and demonstrated that it can achieve a grade b- and its rank in the class is 155 out of 314 students overall. our comprehensive evaluation provides valuable insights into chatgpt's impact from both student and instructor perspectives. additionally, we identify several potential benefits that chatgpt can offer to both groups. overall, we believe that this study significantly clarifies and advances our understanding of chatgpt's capabilities and potential impact on computer science education.",2023-04-29
"88","introduction to the theory of digital spaces","alexander v. evako","general topology","this book provides an introduction to the theory of digital (molecular) spaces (tds). digital spaces are combinatorial models of continuous spaces. tds is one of alternative branches of digital topology that studies constructing and modifying 2, 3 and n-dimensional digital image arrays in a computer and its memory. demands for mathematical theory of multidimensional spaces built of finite number of points appeared in connection with the use of many dimensional images in computer programs. this work presents, as examples, digital models of n-dimensional euclidean spaces, n-dimensional spheres, a torus, a projective plane, etc. methods of tms can work successfully in such areas as biology, chemistry, industry, medicine, etc. the book is organized as follows. digital models of continuous spaces are the intersection graphs of special locally centered lamp covers of continuous spaces. digital models are represented by graphs, algebraic matrices and a set of unit cubes in n-dimensional euclidean space. the main mathematical characteristics of digital models of continuous spaces, such as the dimension, the euler characteristic, the homology groups and others, are the same as those of their continuous counterparts. contractible transformations of digital spaces, that change the number of elements, do not change the mathematical characteristics and properties of digital spaces. the main goal is to construct digital models of continuous spaces and to explain how to use the new methods to work with mathematical objects. the emphasis is on introducing the readers to the basics and conceptual understanding of what tds is.",2023-04-15
"89","a survey of methods for converting unstructured data to csg models","pierre-alain fayolle, markus friedrich","graphics","the goal of this document is to survey existing methods for recovering csg representations from unstructured data such as 3d point-clouds or polygon meshes. we review and discuss related topics such as the segmentation and fitting of the input data. we cover techniques from solid modeling and cad for polyhedron to csg and b-rep to csg conversion. we look at approaches coming from program synthesis, evolutionary techniques (such as genetic programming or genetic algorithm), and deep learning methods. finally, we conclude with a discussion of techniques for the generation of computer programs representing solids (not just csg models) and higher-level representations (such as, for example, the ones based on sketch and extrusion or feature based operations).",2023-05-02
"90","thinking beyond chatbots' threat to education: visualizations to elucidate the writing and coding process","badri adhikari","computers and society","the landscape of educational practices for teaching and learning languages has been predominantly centered around outcome-driven approaches. the recent accessibility of large language models has thoroughly disrupted these approaches. as we transform our language teaching and learning practices to account for this disruption, it is important to note that language learning plays a pivotal role in developing human intelligence. writing and computer programming are two essential skills integral to our education systems. what and how we write shapes our thinking and sets us on the path of self-directed learning. while most educators understand that `process' and `product' are both important and inseparable, in most educational settings, providing constructive feedback on a learner's formative process is challenging. for instance, it is straightforward in computer programming to assess whether a learner-submitted code runs. however, evaluating the learner's creative process and providing meaningful feedback on the process can be challenging. to address this long-standing issue in education (and learning), this work presents a new set of visualization tools to summarize the inherent and taught capabilities of a learner's writing or programming process. these interactive process visualizations (pvs) provide insightful, empowering, and personalized process-oriented feedback to the learners. the toolbox is ready to be tested by educators and learners and is publicly available at this http url. focusing on providing feedback on a learner's process--from self, peers, and educators--will facilitate learners' ability to acquire higher-order skills such as self-directed learning and metacognition.",2023-04-25
"91","a diagrammatic method to compute the effective hamiltonian of driven nonlinear oscillators","xu xiao, jayameenakshi venkatraman, rodrigo g. cortiñas, shoumik chowdhury, michel h. devoret","quantum physics","in this work, we present a new method, based on feynman-like diagrams, for computing the effective hamiltonian of driven nonlinear oscillators. the pictorial structure associated with each diagram corresponds directly to a hamiltonian term, the prefactor of which involves a simple counting of topologically equivalent diagrams. we also leverage the algorithmic simplicity of our scheme in a readily available computer program that generates the effective hamiltonian to arbitrary order. at the heart of our diagrammatic method is a novel canonical perturbation expansion developed in phase space to capture the quantum nonlinear dynamics. a merit of this expansion is that it reduces to classical harmonic balance in the limit of $\hbar\rightarrow0$. our method establishes the foundation of the dynamic control of quantum systems with the precision needed for future quantum machines. we demonstrate its value by treating five examples from the field of superconducting circuits. these examples involve an experimental proposal for the hamiltonian stabilization of a three-legged schrödinger cat, modeling of energy renormalization phenomena in superconducting circuits experiments, a comprehensive characterization of multiphoton resonances in a driven transmon, a proposal for an novel inductively shunted transmon circuit, and a characterization of classical ultra-subharmonic bifurcation in driven oscillators. lastly, we benchmark the performance of our method by comparing it with experimental data and exact floquet numerical diagonalization.",2023-04-26
"92","ai-assisted coding: experiments with gpt-4","russell a poldrack, thomas lu, gašper beguš","artificial intelligence","artificial intelligence (ai) tools based on large language models have acheived human-level performance on some computer programming tasks. we report several experiments using gpt-4 to generate computer code. these experiments demonstrate that ai code generation using the current generation of tools, while powerful, requires substantial human validation to ensure accurate performance. we also demonstrate that gpt-4 refactoring of existing code can significantly improve that code along several established metrics for code quality, and we show that gpt-4 can generate tests with substantial coverage, but that many of the tests fail when applied to the associated code. these findings suggest that while ai coding tools are very powerful, they still require humans in the loop to ensure validity and accuracy of the results.",2023-04-25
"93","chatgpt (feb 13 version) is a chinese room","maurice ht ling","computation and language","chatgpt has gained both positive and negative publicity after reports suggesting that it is able to pass various professional and licensing examinations. this suggests that chatgpt may pass turing test in the near future. however, a computer program that passing turing test can either mean that it is a chinese room or artificially conscious. hence, the question of whether the current state of chatgpt is more of a chinese room or approaching artificial consciousness remains. here, i demonstrate that the current version of chatgpt (feb 13 version) is a chinese room. despite potential evidence of cognitive connections, chatgpt exhibits critical errors in causal reasoning. at the same time, i demonstrate that chatgpt can generate all possible categorical responses to the same question and response with erroneous examples; thus, questioning its utility as a learning tool. i also show that chatgpt is capable of artificial hallucination, which is defined as generating confidently wrong replies. it is likely that errors in causal reasoning leads to hallucinations. more critically, chatgpt generates false references to mimic real publications. therefore, its utility is cautioned.",2023-02-19
"94","program comprehension does not primarily rely on the language centers of the human brain","shashank srikant, anna a. ivanova, yotaro sueoka, hope h. kean, riva dhamala, evelina fedorenko, marina u. bers, una-may o'reilly","software engineering","our goal is to identify brain regions involved in comprehending computer programs. we use functional magnetic resonance imaging (fmri) to investigate two candidate systems of brain regions which may support this -- the multiple demand (md) system, known to respond to a range of cognitively demanding tasks, and the language system (ls), known to primarily respond to language stimuli. we devise experiment conditions to isolate the act of code comprehension, and employ a state-of-the-art method to locate brain systems of interest. we administer these experiments in python (24 participants) and scratch jr. (19 participants) - which provides a visual interface to programming, thus eliminating the effect of text in code comprehension. from this robust experiment setup, we find that the language system is not consistently involved in code comprehension, while the md is. further, we find no other brain regions beyond those in the md to be responsive to code. we also find that variable names, the control flow used in the program, and the types of operations performed do not affect brain responses. we discuss the implications of our findings on the software engineering and cs education communities.",2023-04-11
